dDate	sTicker
13.08.2025	RTKM
13.08.2025	RTKMP
11.09.2025	VSEH
12.09.2025	VSEH
22.09.2025	KAZT
22.09.2025	KAZTP
23.09.2025	KAZT
23.09.2025	KAZTP
25.09.2025	HEAD
26.09.2025	GEMA
26.09.2025	NAUK
27.09.2025	HEAD
29.09.2025	YDEX
29.09.2025	YDEX
29.09.2025	GEMA
29.09.2025	NAUK
30.09.2025	PHOR
01.10.2025	PHOR
13.10.2025	TATN
13.10.2025	TATNP
14.10.2025	TATN
14.10.2025	TATNP
